module,modinfo_name,path,subsystem,in_modules_load,source_built_override,n_versions,n_kmi_pure,n_kmi_extended,n_vendor_internal_resolved,n_vendor_internal_missing,n_crc_mismatch,module_layout_status,verdict,secondary_verdict,sample_failing
cmd-db,cmd_db,device/oneplus/infiniti-kernel/cmd-db.ko,misc,0,0,18,0,0,0,0,18,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__stack_chk_fail=crc(d272d446!=f0fdf6cb);strnlen=crc(b5bedffb!=a916b694);memcpy_and_pad=crc(9fbeab29!=697ed5f0);__fortify_panic=crc(31b67631!=75ca79b5);__platform_driver_register=crc(26d0cf2d!=dda9df08);of_reserved_mem_lookup=crc(1dec9274!=8d5ece04);memremap=crc(0521dd20!=4d924f20);debugfs_create_file=crc(d0616c24!=fcb58d19)
cnss2,cnss2,device/oneplus/infiniti-kernel/cnss2.ko,wlan,1,0,389,0,0,0,104,285,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,of_property_read_variable_u32_array=crc(5de0294f!=e46d1c95);__stack_chk_fail=crc(d272d446!=f0fdf6cb);snprintf=crc(f4386284!=656e4a6e);debugfs_create_dir=crc(85212c97!=bee3c24c);debugfs_create_file=crc(d0616c24!=fcb58d19);ipc_log_string=missing;_printk=crc(16b5b21d!=92997ed8);_raw_spin_lock_irqsave=crc(aa615763!=34db050b)
cnss_nl,cnss_nl,device/oneplus/infiniti-kernel/cnss_nl.ko,wlan,1,0,7,0,0,0,0,7,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,of_find_node_with_property=crc(8896e902!=cb16c19d);of_device_is_available=crc(7a32b0be!=8dcaefd7);memset=crc(110f4d3a!=dcb764ad);_printk=crc(16b5b21d!=92997ed8);genl_register_family=crc(576db919!=47c36fbe);genl_unregister_family=crc(66601109!=6cb2a46a);module_layout=crc(e976b219!=38f960dd)
cnss_plat_ipc_qmi_svc,cnss_plat_ipc_qmi_svc,device/oneplus/infiniti-kernel/cnss_plat_ipc_qmi_svc.ko,wlan,1,0,36,0,0,0,3,33,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,scnprintf=crc(f4386284!=96848186);qmi_send_indication=crc(1419ad0a!=0bbcc96f);wait_for_completion_timeout=crc(6dc35028!=4a3ad70e);mutex_lock=crc(995658e3!=d5977bfb);idr_remove=crc(d5070956!=7665a95b);mutex_unlock=crc(995658e3!=ed55cabd);kfree=crc(31359e90!=037a0cba);__stack_chk_fail=crc(d272d446!=f0fdf6cb)
cnss_prealloc,cnss_prealloc,device/oneplus/infiniti-kernel/cnss_prealloc.ko,wlan,1,0,19,0,0,0,0,19,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);mempool_alloc_slab=crc(db3d8074!=c972449f);mempool_free_slab=crc(5d728774!=8a99a016);__kmem_cache_create_args=crc(41f900f7!=2d22bcc6);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);mempool_create_node_noprof=crc(60933297!=2213aa1f);kmem_cache_destroy=crc(743a59c5!=5faf0983);__kmalloc_noprof=crc(27865ec7!=52c5c991)
cnss_utils,cnss_utils,device/oneplus/infiniti-kernel/cnss_utils.ko,wlan,1,0,35,0,0,0,4,31,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,mutex_lock=crc(995658e3!=d5977bfb);memcpy=crc(8a7493b2!=4829a47e);mutex_unlock=crc(995658e3!=ed55cabd);_printk=crc(16b5b21d!=92997ed8);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmemdup_noprof=crc(473b50c9!=a8ade12b);_raw_spin_lock_bh=crc(7c62d7bb!=0c3690fc);_raw_spin_unlock_bh=crc(7c62d7bb!=e46021ca)
coresight-csr,coresight_csr,device/oneplus/infiniti-kernel/coresight-csr.ko,usb,1,0,37,0,0,0,0,37,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);coresight_get_path=crc(9d6da4a6!=1e932457);coresight_get_sink=crc(bd1299bc!=301989d3);__of_parse_phandle_with_args=crc(e99699d5!=64cc5fec);of_property_read_string=crc(fc9f25c0!=27bdd89b);strcmp=crc(f5df0401!=e2d5255a);of_property_read_variable_u32_array=crc(5de0294f!=e46d1c95)
coresight-cti,coresight_cti,device/oneplus/infiniti-kernel/coresight-cti.ko,usb,1,0,84,0,0,0,0,84,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,log_write_mmio=crc(295b83ed!=c905402b);log_post_write_mmio=crc(295b83ed!=fa4d3c24);_raw_spin_lock=crc(7c62d7bb!=ba8fbd64);_raw_spin_unlock=crc(7c62d7bb!=b5b54b34);__bitmap_or=crc(fcab812c!=a084749a);devm_kstrdup=crc(63b8d0f8!=50860ba0);__list_add_valid_or_report=crc(6fabd45b!=7e19152a);devm_kmalloc=crc(d1263f9d!=9601551a)
coresight-dummy,coresight_dummy,device/oneplus/infiniti-kernel/coresight-dummy.ko,usb,1,0,29,0,0,0,0,29,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);of_device_is_compatible=crc(c993f0e5!=9be608c5);coresight_alloc_device_name=crc(33049551!=b3d6280a);coresight_get_platform_data=crc(92ac5fc1!=51ddc177);devm_kmalloc=crc(d1263f9d!=9601551a);coresight_register=crc(6e922ca6!=1a4e111d);pm_runtime_enable=crc(5255a8ce!=9c1b72c4)
coresight-funnel,coresight_funnel,device/oneplus/infiniti-kernel/coresight-funnel.ko,usb,1,0,59,0,0,0,0,59,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);__amba_driver_register=crc(d6571cd8!=69607bd8);_printk=crc(16b5b21d!=92997ed8);platform_driver_unregister=crc(8af50346!=3af3024b);amba_driver_unregister=crc(96a8ed1e!=2f30f668);cpu_pm_register_notifier=crc(0a227d4d!=444f1735);__cpuhp_setup_state=crc(d96d6f98!=b66eb73f);cpu_pm_unregister_notifier=crc(0a227d4d!=4f98d766)
